Gross Multiple,TVPI
0.507092391,0.422150458
0.594638025,0.450711801
0.597331258,0.506946953
0.597904041,0.457573512
0.614572181,0.58169589
0.674537591,0.58874997
0.682615899,0.473801034
0.712354385,0.561983962
0.719283052,0.523429926
0.729286248,0.643439447
0.733768961,0.68993395
0.746917622,0.665737745
0.765003041,0.525649235
0.771000413,0.712935096
0.804232666,0.757451021
0.805839554,0.715169927
0.816027907,0.644293893
0.820133749,0.760462927
0.846151737,0.837891654
0.870388751,0.850840495
0.872533879,0.861840825
0.881241607,0.799934743
0.889315987,0.807944385
0.904989035,0.781391333
0.926672377,0.767067924
0.928032479,0.780482953
0.928262949,0.766391234
0.933245651,0.79684778
0.94693898,0.940841697
0.953564472,0.73602242
0.966541925,0.799780972
0.978383662,0.875923945
0.985768332,0.978065436
0.994196273,0.313125013
1.002607752,0.838071199
1.006492621,0.880603231
1.007008373,0.960429297
1.015384615,0.791733459
1.018720342,0.812496276
1.02183973,0.991277646
1.026691137,0.854193692
1.036778442,0.867224633
1.042205502,0.841188222
1.049525479,0.918849948
1.056042455,0.999230457
1.05620287,1.054073085
1.057090838,1.051436218
1.06153994,0.889904186
1.064061827,0.916544957
1.067521172,0.970311737
1.072730142,0.950916949
1.079760534,1.040424483
1.091964774,1.051759216
1.097656248,0.97752118
1.112192547,0.615018776
1.115879084,1.054014027
1.117134359,1.063885354
1.118140081,0.981253427
1.124541778,0.868172591
1.129962495,1.015000524
1.130717114,1.071613655
1.139666976,1.065526968
1.1447313,0.829397512
1.153783398,1.085856854
1.154357431,0.997340783
1.157750769,0.940384252
1.15781879,1.116569641
1.165535525,1.07964578
1.171163029,1.009180923
1.171948084,1.064447942
1.184955978,1.056527381
1.186083854,0.989744067
1.186675752,1.068329494
1.187291963,1.094266494
1.197509609,1.01021264
1.197795946,0.997850987
1.207899079,1.118527158
1.211508499,1.098444858
1.217228751,1.06271009
1.21759424,1.031201566
1.224271658,1.220693605
1.232330594,1.052406766
1.234647272,1.229071294
1.247997156,1.051827213
1.252864869,1.103936921
1.255452596,1.106666352
1.25859745,1.098436977
1.258635719,1.258635719
1.259810841,1.245214377
1.261718407,1.145500608
1.262711789,1.23882459
1.263425995,1.087374921
1.263499907,1.217920489
1.266062819,1.141876197
1.266213228,1.14876256
1.276621088,1.242936997
1.276883842,1.246581826
1.280459987,1.100487273
1.281297831,1.092493949
1.285805203,1.089551558
1.286541793,1.163264962
1.286930067,1.168259112
1.287308206,1.198950759
1.293635342,1.170616002
1.294235132,1.097549157
1.295857225,1.096911139
1.29628661,1.191537014
1.305010287,1.236330798
1.305682148,1.190997579
1.306212562,1.139198512
1.307501717,1.209530735
1.308177916,1.152041997
1.310723787,1.237163497
1.313450416,1.002108499
1.314471739,1.263141111
1.322255232,1.141297871
1.323953556,1.106886632
1.33005301,1.181851384
1.332208876,1.261752788
1.334272142,1.05585072
1.338415081,1.269335765
1.339889294,1.203059961
1.352377039,1.171686777
1.353017053,1.179992355
1.353652192,1.05369952
1.358155759,1.320422018
1.362677139,1.146909218
1.365977481,1.250398002
1.365998731,1.208111082
1.370937268,1.357043713
1.371892458,1.367755207
1.371927115,1.242853792
1.377125998,1.271455508
1.381224662,1.205025814
1.38263218,1.260205186
1.382832691,1.20910171
1.383611926,1.302134189
1.388673378,1.308082021
1.392038511,0.998760703
1.394069696,1.202009893
1.396484947,1.244358115
1.396616628,1.252012629
1.403553403,1.225939032
1.406105257,1.244895598
1.407419644,1.211230361
1.407658735,1.401964758
1.413732394,1.264233173
1.415950915,1.254831598
1.416001511,1.329992213
1.417797202,1.27104224
1.419910627,1.209741653
1.420691606,1.324441239
1.422403444,1.177936295
1.423321923,1.224213513
1.434055268,1.340560349
1.436196434,1.326852822
1.442175877,1.181075074
1.442896237,1.287221228
1.449079491,1.227855054
1.451642049,1.255248086
1.4537939,1.163861209
1.460962567,1.292667789
1.461130174,1.290355421
1.461935698,1.26575942
1.463271527,1.250667609
1.472832389,1.308098616
1.47792857,1.257755351
1.479977963,1.183524976
1.483189372,1.482478802
1.491350805,1.41429479
1.493282212,1.108534423
1.49793152,1.299534628
1.506584674,1.098962148
1.50896203,1.171195487
1.509793928,1.215768337
1.51121176,1.40643965
1.511734316,1.43594108
1.512619029,1.147672299
1.516820187,1.36817949
1.523335529,1.354976552
1.52468176,1.293193785
1.524908445,1.314528139
1.525540177,1.416072422
1.526765351,1.355017112
1.527591313,1.16443045
1.528575412,1.186962129
1.533731307,1.247813123
1.537382695,1.352276737
1.538891354,1.332041326
1.543842855,1.293414096
1.545667506,1.225170327
1.550226244,1.340027525
1.552873505,1.39164852
1.552993015,1.527353423
1.553570883,1.404885632
1.553660954,1.329651941
1.554209704,1.382822415
1.557402006,1.368575835
1.557910027,1.049944863
1.55977588,1.308496626
1.565217391,1.371416067
1.569401042,1.381967627
1.576463167,1.460383333
1.579422206,1.319864909
1.579562236,1.400035837
1.581055902,1.24288728
1.582292257,1.309869381
1.587317991,1.321515561
1.59063863,1.345456166
1.591616547,1.347397434
1.596001068,1.314231327
1.596215248,1.291543375
1.597188075,1.399901829
1.597239293,1.467167111
1.602522234,1.347716726
1.606570741,1.370607078
1.609957874,1.408141193
1.6115223,1.312331222
1.613656872,1.347579176
1.614964954,1.350002129
1.61518347,1.374521067
1.616038821,1.298649437
1.618699114,1.248520678
1.619752574,1.532759296
1.62668845,1.412701092
1.628731479,1.316299133
1.629122182,1.343530201
1.634547591,1.321832649
1.634791187,1.144947423
1.635515481,1.519965122
1.636202872,1.317505387
1.640410348,1.389928333
1.641047745,1.37001024
1.641047775,1.4577285
1.642529815,1.403376493
1.644458308,1.234429305
1.646894301,1.445651739
1.652993302,1.384123414
1.65652922,1.463431106
1.660576378,1.257930356
1.661066115,1.382018872
1.663189324,1.407338958
1.665736653,1.381337083
1.670608104,1.485638943
1.670723383,1.515013729
1.674059544,1.455903158
1.678261728,1.263840888
1.679330759,1.516598455
1.684629601,1.290197806
1.685978693,1.289256205
1.688654999,1.510197833
1.69109589,1.316908179
1.694265976,1.407339523
1.697819841,1.427394456
1.700893818,1.431268463
1.701806046,1.325595701
1.704291014,1.335391262
1.70738938,1.219299911
1.709665323,1.391561335
1.710282256,1.653335903
1.71458358,1.645228548
1.716639522,1.640908589
1.725138641,1.592616731
1.73452885,1.40758812
1.737430736,1.349270183
1.738524417,1.386223464
1.741596639,1.696412287
1.741896276,1.413109408
1.744639026,1.542002591
1.753858557,1.418064197
1.754528161,1.688348155
1.755277074,1.455309521
1.756383081,1.64947833
1.761828017,1.421726266
1.762109869,1.453878988
1.762895965,1.440787771
1.763588806,1.490306439
1.764754346,1.403803715
1.765885804,1.464626876
1.767102283,1.248341863
1.767196774,1.50658994
1.770487002,1.568381713
1.77226314,1.389967672
1.77294686,1.542020722
1.774215314,1.338049021
1.779933553,1.502066115
1.783363781,1.592317691
1.783452024,1.692239928
1.78346717,1.396240837
1.783713137,1.525945997
1.784482506,1.590604742
1.789168533,1.5546632
1.79320549,1.625193589
1.79377747,1.443981988
1.796831703,1.566446574
1.798974564,1.255973401
1.802658366,1.563535767
1.804142745,1.509136871
1.804378678,1.5077304
1.810459967,1.413690045
1.815063091,1.520497814
1.817758646,1.604593652
1.818898812,1.469468403
1.820068406,1.494474327
1.824529476,1.289887952
1.828328529,1.435871875
1.835258359,1.500748198
1.837090764,1.535174291
1.839505547,1.831503046
1.8420426,1.49926318
1.842719612,1.805944728
1.846344803,1.534517985
1.84639035,1.656182823
1.846845096,1.515338126
1.847442133,1.506443428
1.854354089,1.480635477
1.854394129,1.779798394
1.856814619,1.84800925
1.860802051,1.515732144
1.8619439,1.788210213
1.864727712,1.538701168
1.871696942,1.515328164
1.874921155,1.726356446
1.880532746,1.563084628
1.881154439,1.3063558
1.881731845,1.460324822
1.885040429,1.529900198
1.887835562,1.109362119
1.88784985,1.840331982
1.892224827,1.550859061
1.894972995,1.507405803
1.897918012,1.51144935
1.900654526,1.540560885
1.901579681,1.558526558
1.901758192,1.886109771
1.903456295,1.589211932
1.903605699,1.559137066
1.905707423,1.641866859
1.906413443,1.554128425
1.909014462,1.56797512
1.909470606,1.613543421
1.911767881,1.637274883
1.919150974,1.805975986
1.923104151,1.461634716
1.924139328,1.550878359
1.925161748,1.725348658
1.925600858,1.720200491
1.92960443,1.635983158
1.930327403,1.495266226
1.930344647,1.650705919
1.93240687,1.706162822
1.9346211,1.528839727
1.936030682,1.695380967
1.938543997,1.480541062
1.938969382,1.376551271
1.9405324,1.523507696
1.941048214,1.614200505
1.943123383,1.855597326
1.944959621,1.697719234
1.947985655,1.673207172
1.954431357,1.40708561
1.954472087,1.638636331
1.955230514,1.622918306
1.959040209,1.752362923
1.959599242,1.582795266
1.961066337,1.507756689
1.962325232,1.428904237
1.964535913,1.570267842
1.965523181,1.697354291
1.965856323,1.553997142
1.971337642,1.702722501
1.972009312,1.635110687
1.972229857,1.683862111
1.973559992,1.825436117
1.975709404,1.210798858
1.977896634,1.551434724
1.981620766,1.636118851
1.98575063,1.683483157
1.987368907,1.60365581
1.987674262,1.790216212
1.988706814,1.466270345
1.990010437,1.789250055
1.990269843,1.57015257
1.993390145,1.745558891
1.994096855,1.526307359
1.994720026,1.633889382
1.995680009,1.597290825
1.99735157,1.602102252
1.999437889,1.629923597
2.00067873,1.664772796
2.004120841,1.593858374
2.006757437,1.702005749
2.030653117,1.569849513
2.031216101,1.671003146
2.031464059,1.676625113
2.033762541,1.618998596
2.043079929,1.647404245
2.043963682,1.493189131
2.048133503,1.639343205
2.051833938,1.8276161
2.060766161,1.680261582
2.065047454,1.676038913
2.06866302,1.706078898
2.073760332,1.685445323
2.076717958,1.61001113
2.077679954,1.64011766
2.082152939,1.767087739
2.089655531,1.588973149
2.098750818,1.591020686
2.106038219,1.653969886
2.106738471,1.546059314
2.118074239,1.811915486
2.123319216,1.723069903
2.124820327,1.798352038
2.129009532,1.806060427
2.130123798,1.733100054
2.133060065,1.560220568
2.14095493,1.805477103
2.142003646,1.72308821
2.142434933,1.730828436
2.14659838,1.819690729
2.146845774,1.794588686
2.147127491,1.794702501
2.149164698,1.782205376
2.15386158,1.815082279
2.156915386,1.716077625
2.159031573,1.904429078
2.161832429,1.70847688
2.166234252,1.760675618
2.172794419,1.667756544
2.17485178,1.620291608
2.174861503,1.59356849
2.176477055,1.819563369
2.182336086,1.610722872
2.185334999,1.746919543
2.18798315,1.781211725
2.190353967,1.761742976
2.192773808,1.808876509
2.198413841,1.698092943
2.199431549,1.685539019
2.205822954,1.759342705
2.206201584,1.834253007
2.207696223,1.676055086
2.21145849,1.774076362
2.213729726,1.92732007
2.215239939,1.639626343
2.216008189,1.715676828
2.21768413,1.841672817
2.218676243,1.587425081
2.219131058,1.809118088
2.223976877,1.759062343
2.225912331,1.739014209
2.245113341,1.698892569
2.245892378,1.997555816
2.249884491,1.9094973
2.257098992,1.854230364
2.257852267,1.64432341
2.260054405,1.87607563
2.262464547,1.776793445
2.262503363,2.211544902
2.27314113,1.503846308
2.277255059,1.811496602
2.286755238,2.025562861
2.293070372,1.959289248
2.295065654,1.883980135
2.303884753,2.000325058
2.309652382,1.96845423
2.310002023,1.944943187
2.312575474,2.002404822
2.316283197,1.876231987
2.326563134,2.075987682
2.328975955,1.856968514
2.329636776,1.800259488
2.332018422,1.845444936
2.337215686,1.867956392
2.355236472,1.919670277
2.356954967,1.845277181
2.363766323,1.881912464
2.365234363,2.076401708
2.365953136,1.972386576
2.366783237,2.258683892
2.371065713,1.98208821
2.373744698,1.906162549
2.376492681,1.890125365
2.381740605,2.064582696
2.387510639,1.831191828
2.387858449,1.851111641
2.393363006,1.887923029
2.40093984,2.090411766
2.401179941,1.721585557
2.405907263,1.916606365
2.411865851,1.859607149
2.415251192,1.873253254
2.425593398,1.971359476
2.42854877,1.871096041
2.433442266,2.043578112
2.437664625,1.881899919
2.438582256,1.942437643
2.443777846,2.245181448
2.450568766,1.998314968
2.450824409,1.981884283
2.450936769,1.895932403
2.45245421,1.875668121
2.459740797,1.804797738
2.470760679,1.894412879
2.471262413,1.946396336
2.475199113,1.998139692
2.47727718,2.049211551
2.482583921,2.420696341
2.487234985,2.076457233
2.491650618,1.904663813
2.493943571,1.928009883
2.497838284,1.976417086
2.502086441,1.904635293
2.504469187,1.866629598
2.509493358,2.1024277
2.512147776,2.136013298
2.512824415,1.992502237
2.518458715,2.051899424
2.524393921,1.964639523
2.526044155,1.862087822
2.542514984,1.968767599
2.547497863,2.173626896
2.550398504,2.348410576
2.551978117,1.709098959
2.561858357,2.294043664
2.581759333,2.33694383
2.585409472,2.187130895
2.589747746,2.106039252
2.593364784,2.447864623
2.598922407,2.088247966
2.601960312,2.085511456
2.602818975,2.054478961
2.604675078,2.144180442
2.610423177,2.076831991
2.616504299,2.365526008
2.62099588,2.495886574
2.62503159,2.084809984
2.627867578,2.196975791
2.628003318,2.085465913
2.628867937,2.087856943
2.633547106,1.921214733
2.636267595,2.130322544
2.645723146,1.984300503
2.665849865,2.111868789
2.667820243,2.099683014
2.668281641,2.011526446
2.67578125,2.011783159
2.68257186,2.120788596
2.686609044,2.132022412
2.692580476,2.16306738
2.702463501,2.107114083
2.70440167,2.17448355
2.7066377,2.515199998
2.712943848,2.008578402
2.726043814,2.369226378
2.72699278,2.073941596
2.727865544,2.126926001
2.738861153,1.479478943
2.751546679,2.185433971
2.766518868,2.201988489
2.768170399,2.445451785
2.76854764,2.188662015
2.782301179,2.144203969
2.787520145,2.705242289
2.788615893,2.258746139
2.792287089,2.268867205
2.803871598,2.51165982
2.811285306,2.180419784
2.817324703,2.261295607
2.824076162,2.311980615
2.826707618,2.150662857
2.830843063,2.319621124
2.834836238,2.178281096
2.838590799,2.114434038
2.839559298,2.395607272
2.840913393,2.239659553
2.84490948,2.089884784
2.845299433,2.439937607
2.847446777,2.443494969
2.858703756,1.97146196
2.865655649,2.527872749
2.867112604,2.250885925
2.876965267,2.580413419
2.887787098,1.94199649
2.89283101,2.50631998
2.896671522,2.2670105
2.898325909,2.262897088
2.909637894,2.575547573
2.914935505,2.045778986
2.94412519,1.990792344
2.94571053,2.485251005
2.946206877,2.495803464
2.949958233,2.431197485
2.95795189,2.543692048
2.972184539,2.60470649
2.976997977,2.421065416
2.982315846,2.032413163
2.985218669,2.8071297
2.985623091,2.90277279
3.005949366,2.37909706
3.006668896,2.174259986
3.007088906,2.031168991
3.012455175,2.336741148
3.073542712,2.42152569
3.078841325,2.325039002
3.084893385,2.579266873
3.104954148,2.471846102
3.112830797,2.224635168
3.127771802,2.447340325
3.129586804,2.869025917
